transaction_id,item
1,"Apple Juice,Orange Juice,Mango Juice"
2,"Apple Juice,Grape Juice,Pineapple Juice"
3,"Orange Juice,Mango Juice"
4,"Apple Juice,Orange Juice,Mango Juice"
5,"Grape Juice,Pineapple Juice"
6,"Apple Juice,Orange Juice"
7,"Mango Juice,Grape Juice"
8,"Apple Juice,Orange Juice,Mango Juice"
9,"Orange Juice,Pineapple Juice"
10,"Apple Juice,Grape Juice"
11,"Orange Juice,Mango Juice"
12,"Apple Juice,Orange Juice,Mango Juice"
13,"Grape Juice,Pineapple Juice"
14,"Apple Juice,Orange Juice"
15,"Orange Juice,Mango Juice"
